company_id;account_id;keyword;is_regex;case_sensitive;match_type;pattern_description;priority
1;7;LIPH KF PEKAYON;0;0;contains;LIPH prefix: LIPH KF PEKAYON;9
1;7;QR.*KF.*0347;1;0;regex;QR pattern: QR...KF...0347;8
1;7;PEKAYON;0;0;contains;Location word: PEKAYON (from PEKAYON);7
1;7;pc pekayon;0;0;contains;Internal code: pc pekayon;6
1;7;bs pekayon;0;0;contains;Internal code: bs pekayon;6
1;7;bo pekayon;0;0;contains;Internal code: bo pekayon;6
1;8;A_05;0;0;contains;Exact code: A_05;10
1;8;A05;0;0;contains;Code without underscore: A05;10
1;8;KF 0367;0;0;contains;KF + number with space: KF 0367;10
1;8;KF0367;0;0;contains;KF + number without space: KF0367;10
1;8;JATI ASIH;0;0;contains;Full location name: JATI ASIH;10
1;8;KF 367;0;0;contains;KF + number no zero: KF 367;9
1;8;KF367;0;0;contains;KF + number no zero (no space): KF367;9
1;8;367;0;0;contains;Number only: 0367 (Context: after KF or in transaction code);8
1;8;LIPH KF JATI ASIH;0;0;contains;LIPH prefix: LIPH KF JATI ASIH;9
1;8;LIPH KFJATIASIH;0;0;contains;LIPH no space: LIPH KFJATIASIH;8
1;8;QR.*KF.*0367;1;0;regex;QR pattern: QR...KF...0367;8
1;8;JATI;0;0;contains;Location word: JATI (from JATI ASIH);7
1;8;ASIH;0;0;contains;Location word: ASIH (from JATI ASIH);7
1;8;JATIASIH;0;0;contains;Typo/variation: No space: JATIASIH;7
1;8;pc jatiasih;0;0;contains;Internal code: pc jatiasih;6
1;8;bs jatiasih;0;0;contains;Internal code: bs jatiasih;6
1;8;bo jatiasih;0;0;contains;Internal code: bo jatiasih;6
1;9;A_06;0;0;contains;Exact code: A_06;10
1;9;A06;0;0;contains;Code without underscore: A06;10
1;9;KF 0390;0;0;contains;KF + number with space: KF 0390;10
1;9;KF0390;0;0;contains;KF + number without space: KF0390;10
1;9;CAKUNG GEDE;0;0;contains;Full location name: CAKUNG GEDE;10
1;9;KF 390;0;0;contains;KF + number no zero: KF 390;9
1;9;KF390;0;0;contains;KF + number no zero (no space): KF390;9
1;9;390;0;0;contains;Number only: 0390 (Context: after KF or in transaction code);8
1;9;LIPH KF CAKUNG GEDE;0;0;contains;LIPH prefix: LIPH KF CAKUNG GEDE;9
1;9;LIPH KFCAKUNGGEDE;0;0;contains;LIPH no space: LIPH KFCAKUNGGEDE;8
